year,total_days,high_vol_days,high_vol_pct
2005,232,0,0.0
2006,251,0,0.0
2007,251,82,32.67
2008,253,223,88.14
2009,252,231,91.67
2010,252,137,54.37
2011,252,118,46.83
2012,250,38,15.2
2013,252,0,0.0
2014,252,7,2.78
2015,252,32,12.7
2016,252,50,19.84
2017,251,0,0.0
2018,251,103,41.04
2019,252,39,15.48
2020,253,218,86.17
2021,252,93,36.9
2022,251,241,96.02
2023,250,31,12.4
2024,252,19,7.54
2025,250,54,21.6
2026,109,31,28.44
