date,spy_close,spy_log_return,rv20,vix,log_vix,p_normal,p_high_vol,viterbi_regime,strategy_signal
2020-01-02,296.88812255859375,0.009308404542659363,0.06431295227144304,12.470000267028807,2.523325781105642,0.9999987696035826,1.2303956836985208e-06,normal,1
2020-01-03,294.6400451660156,-0.007600950685640011,0.07242738869083601,14.020000457763675,2.640484914257205,0.9999980870252437,1.9129752827462077e-06,normal,1
2020-01-06,295.76422119140625,0.003808161451479881,0.07271385381479102,13.850000381469725,2.6282852601762876,0.9999984671260715,1.5328747372283784e-06,normal,1
2020-01-07,294.9325256347656,-0.002815983364408005,0.06969163183630067,13.789999961853031,2.6239436890389327,0.9999987611271024,1.23887209960259e-06,normal,1
2020-01-08,296.50439453125,0.005315436165157327,0.06870810559338918,13.449999809265135,2.598979091866817,0.9999985271890114,1.4728108090569207e-06,normal,1
2020-01-09,298.5148010253906,0.006757476596819614,0.06979783003081075,12.53999996185303,2.5289235321627515,0.999999387759277,6.122407418963416e-07,normal,1
2020-01-10,297.6557922363281,-0.0028817569777610623,0.07212234781324303,12.560000419616701,2.530517194449025,0.9999996851238889,3.1487635368076507e-07,normal,1
2020-01-13,299.70294189453125,0.006854031105383145,0.07027040094953425,12.31999969482422,2.511223933334612,0.9999995320741804,4.679259484462147e-07,normal,1
2020-01-14,299.2459411621094,-0.0015260094276313076,0.07119998005517732,12.390000343322756,2.516889723350716,0.9999997362756751,2.6372360212565985e-07,normal,1
2020-01-15,299.9222106933594,0.0022573623658972176,0.06872053496665649,12.420000076293949,2.5193080826481626,0.9999996650258814,3.3497375280289183e-07,normal,1
2020-01-16,302.4171142578125,0.008284094127912136,0.07245300340555952,12.31999969482422,2.511223933334612,0.9999994579976933,5.420031515586398e-07,normal,1
2020-01-17,303.35833740234375,0.0031075009704228966,0.07218429309893475,12.100000381469728,2.4932054841291187,0.9999997838749783,2.1612412609813471e-07,normal,1
2020-01-21,302.76434326171875,-0.00195998054429429,0.07320640547797126,12.850000381469727,2.5533438410275884,0.9999996058687297,3.941304746078697e-07,normal,1
2020-01-22,302.8009338378906,0.00012084766944259301,0.07280915964213149,12.909999847412108,2.5580021930391945,0.9999995697345201,4.3026541169228244e-07,normal,1
2020-01-23,303.14813232421875,0.001145966034813334,0.07282867449521244,12.979999542236326,2.5634096760090963,0.9999995088948095,4.911052072942232e-07,normal,1
2020-01-24,300.4523010253906,-0.008932562254886934,0.08180088167517582,14.560000419616701,2.678278071588368,0.9999957246182466,4.275382486561376e-06,normal,1
2020-01-27,295.63616943359375,-0.016159468375673537,0.10067708993303999,18.229999542236328,2.903068563580112,0.9998811584255167,0.00011884157407138676,normal,1
2020-01-28,298.7341613769531,0.010424544557175378,0.10712762091165884,16.280000686645504,2.7899374027516357,0.9999785463324171,2.1453668088863863e-05,normal,1
2020-01-29,298.4874572753906,-0.0008261727569466239,0.10482338760630566,16.389999389648438,2.796671355516472,0.9999960222164179,3.97778297027262e-06,normal,1
2020-01-30,299.4561767578125,0.0032401727347234188,0.10502475709312821,15.489999771118164,2.740194639652674,0.9999947685947023,5.231405524648141e-06,normal,1
2020-01-31,294.0185852050781,-0.018325105182671154,0.12035496175254926,18.840000152587894,2.935982277247362,0.9997368219503608,0.00026317804873681263,normal,1
2020-02-03,296.2027587890625,0.007401235406482709,0.12037266257890564,17.96999931335449,2.8887036625848097,0.9999473898603194,5.2610140512088394e-05,normal,1
2020-02-04,300.71734619140625,0.015126558637534777,0.1310253816131831,16.049999237060547,2.7757088020408553,0.999965596168039,3.44038325909935e-05,normal,1
2020-02-05,304.1899719238281,0.011481639508942147,0.1355006467941743,15.149999618530277,2.718000506775858,0.9999940777718452,5.922228887414617e-06,normal,1
2020-02-06,305.2135009765625,0.0033591210443722,0.13495554935529916,14.960000038146974,2.7053799750962626,0.9999986388511557,1.3611494581447827e-06,normal,1
2020-02-07,303.5868835449219,-0.005343693413062002,0.1354755157667003,15.470000267028805,2.738902681846048,0.999997729034326,2.2709661834429883e-06,normal,1
2020-02-10,305.85321044921875,0.00743744093486385,0.1366598622817615,15.03999996185303,2.710713315985326,0.9999977962039975,2.2037965615138827e-06,normal,1
2020-02-11,306.3833312988281,0.001731752177288549,0.13512879171074776,15.180000305175781,2.71997879207129,0.999998582122412,1.4178781469965596e-06,normal,1
2020-02-12,308.3572082519531,0.00642184339471681,0.136020588331079,13.739999771118166,2.6203112701361366,0.999999222898925,7.771012066878102e-07,normal,1
2020-02-13,308.0281677246094,-0.0010676455718231068,0.1362867272618826,14.149999618530272,2.649714597130255,0.9999992302494554,7.697498030565829e-07,normal,1
2020-02-14,308.52166748046875,0.0016008433806043157,0.1338081810440505,13.680000305175778,2.615934934502575,0.9999994771516415,5.228488229069794e-07,normal,1
2020-02-18,307.7266845703125,-0.002580074570627714,0.13414226280709396,14.829999923706055,2.6966521510052726,0.999998786431033,1.2135682037555473e-06,normal,1
2020-02-19,309.1979675292969,0.004769742117897967,0.1344890000293062,14.38000011444092,2.66583836025124,0.9999941323484817,5.8676511637390605e-06,normal,1
2020-02-20,307.92779541015625,-0.0041164183672009165,0.13571331683873253,15.560000419616697,2.744703545717899,0.9991293664592877,0.0008706335408005501,normal,1
2020-02-21,304.756591796875,-0.010351926698070063,0.1413872990024316,17.07999992370606,2.8379081838935654,0.9274720307066778,0.07252796929330092,normal,1
2020-02-24,294.6491394042969,-0.033728107765073206,0.1838107005502946,25.030000686645504,3.220075132876583,5.550633888936706e-06,0.9999944493656019,high_volatility,1
